,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,length_in_minutes,time_signature
5575,0.73,0.86,G#/Ab,-5.48,minor,0.05,0.02,0.0,0.12,0.76,127.92,audio_features,3dj4wgM3cPeuLwMNHDuBon,3.54,4/4
5576,0.51,0.47,G#/Ab,-4.94,major,0.03,0.44,0.0,0.1,0.54,175.16,audio_features,4GUaG3df9nbrj77GKEB76j,2.93,3/4
5577,0.39,0.28,G#/Ab,-9.53,major,0.05,0.79,0.0,0.12,0.15,170.51,audio_features,4N1QzEzQudrgGMWjPZhaX2,3.8,3/4
5578,0.41,0.68,F#/Gb,-7.83,minor,0.04,0.1,0.0,0.27,0.4,176.06,audio_features,5hlPrSCx9BvnQ3rCTkblMZ,2.69,4/4
5579,0.44,0.09,C,-17.66,major,0.03,0.96,0.0,0.1,0.14,78.4,audio_features,6wf7Yu7cxBSPrRlWeSeK0Q,3.71,4/4
5580,0.51,0.53,F,-5.74,major,0.06,0.18,0.0,0.29,0.35,138.0,audio_features,1kuGVB7EU95pJObxwvfwKS,3.66,4/4
5581,0.66,0.82,C,-4.12,major,0.1,0.01,0.0,0.3,0.66,99.94,audio_features,1MmNMaPzI1uZQS20RV88AT,2.35,4/4
5582,0.44,0.26,A,-12.31,major,0.03,0.49,0.0,0.12,0.23,133.38,audio_features,6yCmGgRK5SqR8QHrWxooqh,4.21,3/4
5583,0.5,0.79,G,-4.22,minor,0.18,0.14,0.0,0.12,0.55,94.05,audio_features,38D3zXvwHjwtGMUSO4mOmv,4.78,4/4
5584,0.78,0.65,E,-6.4,major,0.03,0.29,0.0,0.23,0.7,113.94,audio_features,3ceGfYOopNjTlXOaKLO1bQ,2.63,4/4
5585,0.68,0.4,A,-8.47,major,0.03,0.71,0.0,0.12,0.2,111.82,audio_features,0qvzXomUDJVaUboy2wMfiS,3.88,4/4
5586,0.56,0.38,A,-10.42,major,0.03,0.48,0.0,0.26,0.32,118.92,audio_features,5ssnt7GzfLILpZkNQ0oU3U,3.56,4/4
5587,0.85,0.59,B,-5.08,major,0.11,0.08,0.0,0.14,0.52,98.93,audio_features,5Ra3wJLBQKxJiYEpWe3Pjf,2.78,4/4
5588,0.69,0.3,G#/Ab,-7.9,major,0.03,0.85,0.0,0.1,0.74,82.26,audio_features,4qZsn7w0WSGx0BgkorQkAu,2.78,4/4
5589,0.67,0.48,E,-9.29,major,0.05,0.3,0.0,0.28,0.28,129.95,audio_features,4Yx4nkx3ymrAZZ3DSlhV8O,3.42,4/4
5590,0.82,0.44,F#/Gb,-7.46,minor,0.11,0.46,0.0,0.1,0.71,90.02,audio_features,7m4BsKrYkOFy3VNmAMu5bO,2.53,4/4
5591,0.53,0.36,A#/Bb,-7.67,major,0.06,0.75,0.0,0.11,0.26,121.41,audio_features,5TgEJ62DOzBpGxZ7WRsrqb,3.83,4/4
5592,0.93,0.34,A#/Bb,-7.68,major,0.11,0.8,0.0,0.1,0.7,120.07,audio_features,1xa57UDqh8R7jg5Ob3W1Yg,1.34,4/4
5593,0.67,0.73,D,-5.03,major,0.05,0.01,0.0,0.08,0.23,93.02,audio_features,3YeBXUEWIjCtcsv0tULpz8,2.92,4/4
5594,0.6,0.48,A,-8.43,major,0.03,0.27,0.0,0.17,0.55,183.89,audio_features,2UikqkwBv7aIvlixeVXHWt,3.56,4/4
5595,0.63,0.81,F,-5.97,major,0.04,0.02,0.0,0.12,0.36,111.05,audio_features,7N3emAP0mWt2OYqxs0XYpc,2.33,4/4
5596,0.52,0.36,F,-8.69,major,0.03,0.82,0.0,0.12,0.24,129.5,audio_features,1I9htETbx6XBkh0kyCz5uW,3.15,4/4
5597,0.76,0.68,G,-6.4,major,0.2,0.06,0.0,0.18,0.61,100.06,audio_features,1hmCmbKsOWE30RYL6IxFeq,1.14,4/4
5598,0.92,0.79,G,-5.19,major,0.09,0.37,0.0,0.06,0.78,115.03,audio_features,2fFnUnsRZ11zSqJoZalmxq,0.85,4/4
5599,0.64,0.27,C,-17.2,major,0.47,0.84,0.0,0.07,0.78,94.39,audio_features,2xsjPTAooJANv5V9t6cYvL,1.03,4/4
5600,0.52,0.36,F,-8.69,major,0.03,0.82,0.0,0.12,0.24,129.5,audio_features,1I9htETbx6XBkh0kyCz5uW,3.15,4/4
5601,0.74,0.43,G,-11.44,major,0.08,0.6,0.0,0.1,0.5,72.99,audio_features,4ludCkJK1UF7PbxsbQMHDg,3.33,4/4
5602,0.45,0.71,F,-6.74,minor,0.05,0.0,0.0,0.27,0.48,164.92,audio_features,7bXqvbsH7owO0tjlzHItqX,2.34,4/4
5603,0.52,0.81,E,-5.34,minor,0.04,0.03,0.0,0.3,0.45,92.79,audio_features,59wQXbDYHOHYUbLRySohsP,3.38,4/4
5604,0.44,0.61,C#/Db,-3.54,major,0.05,0.29,0.0,0.05,0.71,131.62,audio_features,3cRhk3aGHPTe4aptRyQAJW,3.22,4/4
5605,0.4,0.64,C,-8.82,major,0.06,0.12,0.0,0.2,0.48,168.03,audio_features,5ixdi1J5GIRKmmwqJiyINe,3.26,4/4
5606,0.55,0.97,B,-4.58,minor,0.09,0.0,0.0,0.24,0.39,121.03,audio_features,0e3ElMapLJIe0uIchrFVBt,3.71,4/4
5607,0.29,0.72,F#/Gb,-5.32,major,0.05,0.01,0.0,0.2,0.46,138.28,audio_features,688EzbJ3fiB8zKwArQdZkK,3.03,4/4
5608,0.59,0.82,G,-4.76,major,0.04,0.42,0.0,0.13,0.72,85.97,audio_features,3Mi6mtEZ2MopQ7MKfkWl9f,3.36,4/4
5609,0.49,0.53,G,-8.66,major,0.03,0.11,0.0,0.31,0.25,145.78,audio_features,17Rlm2i1lChVzLN7aqkqlN,3.79,4/4
5610,0.55,0.95,D,-4.06,major,0.05,0.0,0.0,0.55,0.65,151.07,audio_features,2cZhG6PNPa2Ykh9xsoAcHw,3.28,4/4
5611,0.58,0.84,D,-4.23,major,0.21,0.36,0.0,0.16,0.87,116.89,audio_features,4wju5onPL5k2pORII0t2W1,2.74,4/4
5612,0.58,0.63,F,-8.77,minor,0.04,0.0,0.04,0.3,0.58,134.04,audio_features,4vuqP2NPI5QaxvBJll1kCO,3.35,4/4
5613,0.28,0.48,D,-6.88,major,0.04,0.37,0.0,0.12,0.31,177.37,audio_features,4dfRbmnFnT5yjjqHJ4mcdM,4.53,4/4
5614,0.65,0.47,D,-6.55,minor,0.03,0.57,0.0,0.16,0.33,111.97,audio_features,7I6sXnSLWoc3LEQisxG86Y,3.66,4/4
5615,0.81,0.27,D,-7.98,minor,0.04,0.95,0.0,0.1,0.56,109.99,audio_features,6m9keSvNWf8XFzs5aTK1co,2.38,4/4
5616,0.48,0.49,C,-11.34,major,0.17,0.53,0.0,0.07,0.34,150.86,audio_features,4SdubskbLiOkpsIjRVVsya,4.97,4/4
5617,0.28,0.66,C#/Db,-7.83,minor,0.05,0.29,0.0,0.72,0.3,102.7,audio_features,3msGgsgqMQXd7nO1S2e59f,5.21,4/4
5618,0.53,0.25,B,-9.52,major,0.05,0.96,0.0,0.07,0.43,81.72,audio_features,039FJyfiM5h39kpz6VfVAD,2.18,4/4
5619,0.78,0.89,C,-4.41,minor,0.12,0.45,0.0,0.31,0.8,101.99,audio_features,42NhtRt3m866eCGfMVg5BF,2.87,4/4
5620,0.64,0.6,D,-8.54,major,0.03,0.02,0.0,0.28,0.59,113.98,audio_features,4dLPPSxHgaoy38YmX4yJnV,3.9,4/4
5621,0.49,0.43,A#/Bb,-5.93,major,0.03,0.82,0.0,0.07,0.42,80.59,audio_features,6dB3CBDenGlbN82nWYTFIu,3.52,4/4
5622,0.56,0.82,A,-6.21,major,0.03,0.02,0.0,0.06,0.55,137.16,audio_features,1AHc7OT7yz3BY9IDDAVD4i,3.81,4/4
5623,0.54,0.88,C#/Db,-1.49,major,0.08,0.04,0.0,0.21,0.48,149.97,audio_features,512wwvX0c5JkyhiF5siFL5,4.21,3/4
5624,0.52,0.68,D,-5.45,major,0.04,0.0,0.0,0.08,0.69,136.99,audio_features,25unV5ocnBz4kZyhd554PT,3.22,4/4
5625,0.34,0.55,F,-4.77,major,0.05,0.9,0.0,0.14,0.26,103.62,audio_features,13mw78vO0Q2w7RX7Df1bkA,3.33,4/4
5626,0.7,0.26,D,-11.66,major,0.03,0.93,0.0,0.47,0.46,95.01,audio_features,5vdC6qqu1I9CFvp8pJ7X8C,1.87,4/4
5627,0.5,0.91,D,-5.31,minor,0.06,0.04,0.0,0.25,0.48,76.98,audio_features,5RXqnZB37wzll5IPQLcBX4,3.5,4/4
5628,0.59,0.54,G,-7.22,minor,0.07,0.62,0.04,0.15,0.47,149.85,audio_features,3KVficEsEWertaGcY4r5ij,3.17,4/4
5629,0.64,0.68,G,-5.24,major,0.07,0.64,0.0,0.15,0.74,103.03,audio_features,2xRzrAkhWvJJqPKoEJFzSa,2.85,4/4
5630,0.33,0.23,F#/Gb,-8.91,minor,0.03,0.78,0.0,0.07,0.16,149.16,audio_features,7jeDms3dHHW01O99OVUXk9,3.68,3/4
5631,0.56,0.88,D,-5.51,minor,0.03,0.01,0.0,0.09,0.51,102.76,audio_features,2wYVL5QawLgPamUCw87TQw,3.5,4/4
5632,0.56,0.56,C,-6.01,minor,0.03,0.03,0.0,0.11,0.35,105.03,audio_features,5C2mhGbVEmeqFQvenp7z04,3.91,4/4
5633,0.46,0.55,A#/Bb,-4.89,major,0.03,0.06,0.0,0.04,0.33,80.0,audio_features,2wSZEb1pCkYoZn0jJs0CGd,3.16,4/4
5634,0.57,0.31,F,-8.53,minor,0.03,0.88,0.0,0.1,0.26,98.93,audio_features,4LuyzoR1ssL2qFnBaJCZDq,3.36,4/4
5635,0.31,0.56,A,-5.1,major,0.03,0.2,0.0,0.09,0.32,145.02,audio_features,6w6ZTXBkcf4JurAR0ruRU5,4.79,4/4
5636,0.56,0.67,C,-5.11,major,0.03,0.01,0.0,0.08,0.5,106.96,audio_features,6Xrax57hlpq52OARjKFXFo,2.29,4/4
5637,0.55,0.7,C,-7.38,major,0.09,0.11,0.0,0.12,0.39,142.8,audio_features,2wY8dr3fDqMEBc20C889bU,4.08,4/4
5638,0.76,0.68,G,-6.4,major,0.2,0.06,0.0,0.18,0.61,100.06,audio_features,1hmCmbKsOWE30RYL6IxFeq,1.14,4/4
5639,0.74,0.29,A#/Bb,-18.22,major,0.87,0.93,0.0,0.7,0.98,127.5,audio_features,1Y96YAaf0kiSTAPUoEhNjW,1.74,4/4
5640,0.46,0.43,C,-9.94,major,0.05,0.71,0.01,0.18,0.96,205.33,audio_features,1mlZOeDDhMDc8HPtUWnydb,0.94,4/4
5641,0.66,0.37,A#/Bb,-14.1,minor,0.33,0.79,0.0,0.23,0.86,146.14,audio_features,3FOVyUbdnNuUmjRR8mI18O,0.96,4/4
5642,0.92,0.79,G,-5.19,major,0.09,0.37,0.0,0.06,0.78,115.03,audio_features,2fFnUnsRZ11zSqJoZalmxq,0.85,4/4
5643,0.84,0.74,A#/Bb,-6.3,minor,0.07,0.1,0.0,0.34,0.72,108.97,audio_features,1PckUlxKqWQs3RlWXVBLw3,3.2,4/4
5644,0.61,0.53,F,-7.49,major,0.06,0.47,0.0,0.09,0.37,177.91,audio_features,0hiHNxqKGf3GZgVTIOAiiK,3.11,4/4
5645,0.8,0.4,F,-8.44,minor,0.05,0.38,0.0,0.1,0.39,92.94,audio_features,2C4Z5GhzkKbIJ9uJGrfyCI,1.36,4/4
5646,0.51,0.06,B,-15.6,major,0.03,0.92,0.0,0.11,0.17,130.63,audio_features,51WRxaNJVQuXOBYUAmSzbf,4.51,5/4
5647,0.63,0.48,D#/Eb,-8.96,major,0.03,0.22,0.05,0.1,0.4,149.23,audio_features,4EuaDcxHmHKS6gZ5iuGba0,4.58,4/4
5648,0.68,0.4,A,-8.47,major,0.03,0.71,0.0,0.12,0.2,111.82,audio_features,0qvzXomUDJVaUboy2wMfiS,3.88,4/4
5649,0.65,0.22,C,-7.85,major,0.03,0.85,0.0,0.11,0.56,127.72,audio_features,3sXWFs0hku4tR5cy54PnRz,4.04,5/4
5650,0.74,0.69,E,-6.56,minor,0.03,0.3,0.0,0.3,0.9,99.05,audio_features,2SrTIQZs2Dzv9WC538a8xM,3.81,4/4
5651,0.67,0.61,G#/Ab,-7.15,major,0.03,0.12,0.0,0.11,0.68,112.05,audio_features,22VHOlVYBqytsrAqV8yXBK,3.56,4/4
5652,0.37,0.19,E,-12.15,minor,0.04,0.56,0.0,0.1,0.15,175.21,audio_features,3WMj8moIAXJhHsyLaqIIHI,3.8,3/4
5653,0.39,0.37,A,-10.89,major,0.03,0.2,0.01,0.08,0.51,48.72,audio_features,3fqwjXwUGN6vbzIwvyFMhx,4.89,4/4
5654,0.67,0.73,D,-5.03,major,0.05,0.01,0.0,0.08,0.23,93.02,audio_features,3YeBXUEWIjCtcsv0tULpz8,2.92,4/4
5655,0.39,0.37,A,-10.89,major,0.03,0.2,0.01,0.08,0.51,48.72,audio_features,3fqwjXwUGN6vbzIwvyFMhx,4.89,4/4
5656,0.67,0.73,D,-5.03,major,0.05,0.01,0.0,0.08,0.23,93.02,audio_features,3YeBXUEWIjCtcsv0tULpz8,2.92,4/4
5657,0.63,0.21,F,-8.05,major,0.04,0.96,0.0,0.13,0.32,79.18,audio_features,5bYOsPMgWyQc94vtLz92ZH,3.88,3/4
5658,0.62,0.5,A#/Bb,-7.68,major,0.03,0.22,0.0,0.1,0.32,140.0,audio_features,1xfF8Y370KZujtqcbOAwEE,4.03,4/4
5659,0.58,0.73,A#/Bb,-4.87,major,0.03,0.03,0.0,0.17,0.88,170.59,audio_features,1jyddn36UN4tVsJGtaJfem,3.86,4/4
5660,0.6,0.27,F,-17.29,major,0.04,0.77,0.01,0.09,0.34,76.27,audio_features,1oht5GevPN9t1T3kG1m1GO,3.39,4/4
5661,0.66,0.44,A#/Bb,-15.71,major,0.06,0.74,0.0,0.17,0.77,135.98,audio_features,0q21FNwES2bbtcduB6kjEU,3.02,4/4
5662,0.66,0.44,A#/Bb,-15.71,major,0.06,0.74,0.0,0.17,0.77,135.98,audio_features,0q21FNwES2bbtcduB6kjEU,3.02,4/4
5663,0.67,0.15,C,-13.57,major,0.04,0.91,0.0,0.08,0.66,85.6,audio_features,3oQomOPRNQ5NVFUmLJHbAV,3.53,4/4
5664,0.89,0.26,F,-9.25,major,0.04,0.73,0.0,0.11,0.3,119.89,audio_features,2E9KlM0BvKZKcZAQRu3OWV,2.26,4/4
5665,0.64,0.43,D,-13.22,major,0.03,0.03,0.02,0.08,0.86,116.42,audio_features,3DrlHWCoFqHQYGwE8MWsuv,3.18,4/4
5666,0.86,0.73,A,-6.65,major,0.05,0.42,0.03,0.07,0.93,132.57,audio_features,5o89Bf80t8ko3uNXJkYoVs,5.77,4/4
5667,0.79,0.73,F,-5.46,major,0.06,0.52,0.0,0.17,0.96,105.85,audio_features,714hERk9U1W8FMYkoC83CO,4.08,4/4
5668,0.49,0.87,A,-8.3,major,0.06,0.1,0.01,0.68,0.47,103.08,audio_features,5EJE5AMshKg41mDOrfKT6f,5.16,4/4
5669,0.93,0.8,E,-10.72,major,0.05,0.5,0.38,0.06,0.97,119.53,audio_features,37d8O4cIq36tssCoJnhJxg,2.2,4/4
5670,0.47,0.9,F#/Gb,-4.8,minor,0.06,0.01,0.06,0.17,0.81,96.56,audio_features,4aVuWgvD0X63hcOCnZtNFA,3.93,4/4
5671,0.69,0.58,E,-14.63,major,0.03,0.02,0.01,0.09,0.84,114.48,audio_features,0a4agFmqHXxcZl1nho1BxM,4.6,4/4
5672,0.67,0.78,A#/Bb,-11.41,major,0.03,0.14,0.01,0.39,0.92,112.63,audio_features,2qVZpGu1v98tvUAutqyAfJ,5.29,4/4
5673,0.68,0.69,A,-13.09,major,0.05,0.67,0.01,0.13,0.8,102.52,audio_features,0RgcOUQg4qYAEt9RIdf3oB,2.84,4/4
5674,0.39,0.59,A,-6.68,minor,0.06,0.34,0.0,0.13,0.73,203.14,audio_features,500h8jAdr7LvzzXlm1qxtK,3.11,4/4
5675,0.67,0.71,D,-7.81,major,0.05,0.42,0.0,0.1,0.47,113.81,audio_features,11IzgLRXV7Cgek3tEgGgjw,4.14,4/4
5676,0.58,0.37,F#/Gb,-9.64,minor,0.03,0.55,0.0,0.08,0.59,120.18,audio_features,1JO1xLtVc8mWhIoE3YaCL0,2.94,4/4
5677,0.54,0.97,E,-5.22,minor,0.11,0.01,0.0,0.92,0.34,131.84,audio_features,2scE085qydKROKlbYLcpPR,6.42,4/4
5678,0.44,0.44,G,-12.82,minor,0.03,0.16,0.0,0.46,0.73,103.82,audio_features,4sUlsy0tPv9n5nqrqeA0lE,5.47,4/4
5679,0.55,0.83,E,-4.77,major,0.04,0.72,0.03,0.37,0.4,121.42,audio_features,5i7rT8lbGzjj1n7TTXR5U8,2.57,4/4
5680,0.79,0.54,A,-13.26,minor,0.04,0.07,0.0,0.16,0.96,127.49,audio_features,2E2ZVy2fxslpAUgbb4zu84,5.14,4/4
5681,0.65,0.82,A#/Bb,-12.24,minor,0.03,0.01,0.15,0.1,0.96,112.12,audio_features,3Is0Nnz59rzbNZE491URlY,3.12,4/4
5682,0.53,0.56,E,-13.02,major,0.04,0.61,0.0,0.26,0.7,121.08,audio_features,6H3Wa6hWR9DRMzMSd4pZkT,2.33,4/4
5683,0.67,0.69,D,-11.93,major,0.06,0.29,0.0,0.19,0.81,124.2,audio_features,4DhbiXEuV7JxSR0wuqetTa,3.12,4/4
5684,0.7,0.83,A#/Bb,-7.18,minor,0.03,0.03,0.01,0.18,0.94,103.56,audio_features,3mRM4NM8iO7UBqrSigCQFH,4.76,4/4
5685,0.55,0.62,A,-11.46,major,0.03,0.64,0.0,0.56,0.83,127.5,audio_features,0P6fEgTn3cxLLyYTJYoYGj,3.4,4/4
5686,0.66,0.53,D,-10.79,major,0.03,0.09,0.01,0.3,0.81,117.96,audio_features,6UXXeFqMBGiqjkzQzkMT3E,5.06,4/4
5687,0.68,0.68,B,-8.12,major,0.03,0.16,0.0,0.24,0.92,107.06,audio_features,5BckPAYcKEJuYs1eV1BHHe,4.07,4/4
5688,0.46,0.93,C,-5.21,major,0.15,0.38,0.0,0.56,0.37,125.05,audio_features,0PxYWaGiwWtcuL1VIMiEW4,2.76,4/4
5689,0.82,0.72,A#/Bb,-10.4,minor,0.05,0.08,0.0,0.07,0.88,105.87,audio_features,687YZan9Gol1UVvbpUSO6Y,4.21,4/4
5690,0.59,0.57,F#/Gb,-9.77,major,0.07,0.16,0.0,0.08,0.95,106.94,audio_features,4pNiE4LCVV74vfIBaUHm1b,3.88,4/4
5691,0.64,0.65,E,-14.98,minor,0.05,0.14,0.28,0.03,0.8,111.68,audio_features,4c4jJJoaiY21t2TyRZgdWS,4.53,4/4
5692,0.59,0.8,C,-7.3,major,0.05,0.33,0.0,0.08,0.66,111.46,audio_features,7L3b6iaVhDVjfo52Hbvh9Z,5.49,4/4
5693,0.63,0.63,G#/Ab,-12.12,major,0.07,0.04,0.01,0.04,0.87,100.5,audio_features,1h2xVEoJORqrg71HocgqXd,4.09,4/4
5694,0.67,0.83,A,-7.89,major,0.03,0.15,0.0,0.14,0.98,126.0,audio_features,3kXoKlD84c6OmIcOLfrfEs,3.6,4/4
5695,0.55,0.65,C,-7.1,major,0.03,0.58,0.0,0.12,0.37,122.82,audio_features,2hdNya0b6Cc2YJ8IyaQIWp,3.54,4/4
5696,0.5,0.7,G,-12.32,minor,0.22,0.2,0.0,0.75,0.83,145.83,audio_features,1EuqRlDP9RuzeCRVcjr1PY,3.13,4/4
5697,0.72,0.49,A,-14.74,minor,0.03,0.11,0.09,0.09,0.8,129.01,audio_features,05oETzWbd4SI33qK2gbJfR,4.21,4/4
5698,0.79,0.49,C#/Db,-13.7,major,0.05,0.09,0.0,0.14,0.83,104.59,audio_features,0I2ELF6uHlL4ABu9aFiou7,2.92,4/4
5699,0.65,0.65,A,-7.44,major,0.03,0.17,0.0,0.19,0.87,97.02,audio_features,5EdlwzcgIAYs2HGvOnczPN,3.76,4/4
5700,0.77,0.72,D#/Eb,-12.57,major,0.03,0.23,0.0,0.03,0.97,110.38,audio_features,0YWUf0FuvbOvAlrOAVaH8S,4.52,4/4
5701,0.73,0.8,C#/Db,-7.22,minor,0.02,0.03,0.0,0.08,0.89,109.12,audio_features,5KgbyD2lQQlIupAaPjgiXg,3.54,4/4
5702,0.74,0.6,G,-9.66,minor,0.03,0.15,0.0,0.07,0.95,101.93,audio_features,3unwRUV5qbjMmH3NJtaODy,4.6,4/4
5703,0.44,0.44,F,-15.4,major,0.03,0.07,0.89,0.15,0.16,92.99,audio_features,29ttQLIaBHgmO0uhY2xx35,6.1,4/4
5704,0.43,0.28,D,-15.9,major,0.03,0.11,0.89,0.13,0.04,94.99,audio_features,6XwnaZJco6QJEHpg4fBype,7.01,4/4
5705,0.43,0.28,D,-15.9,major,0.03,0.11,0.89,0.13,0.04,94.99,audio_features,6XwnaZJco6QJEHpg4fBype,7.01,4/4
5706,0.38,0.07,F,-26.34,major,0.07,0.98,0.83,0.68,0.04,177.74,audio_features,7lfkVL8Ej1WUK8ZVRESoU9,6.13,3/4
5707,0.6,0.1,G#/Ab,-18.37,major,0.04,0.88,0.9,0.11,0.2,142.84,audio_features,0RjITt1ROaVZvjJlfp9mTD,3.53,4/4
