,endTime,artistName,trackName,msPlayed,trackId
123,2023-03-29 21:41,Friedemann,In The Court Of The Mermaid,267667,7ncysISwXB99axlmMknRLH
124,2023-03-29 21:44,Thad Fiscella,Surrey Hills,147682,3r5JjxXM70IyWe8XFRJ1XW
125,2023-03-29 21:47,David Lanz,Norwegian Rain,223747,5cvtsq6zS8MHQG5MMLH1x0
126,2023-03-29 21:50,Michele McLaughlin,For The Lambs,184867,7ogLOvBoekN06bobVwRunh
127,2023-03-29 21:55,Michael Jones,Sunshine Canyon,273227,4ADEPy8QtNpNQMh1OLR0H5
128,2023-03-29 21:58,Wayne Gratz,You've Got To Hide Your Love Away,212091,0
129,2023-03-29 22:01,Enya,A Day Without Rain,156880,0y6DSMwFO6cLKN1XB85cGV
130,2023-03-29 22:04,Rachel Currea,Announcement of War,161360,0P7SM5HE6Pg5T8jhlBC71v
131,2023-03-29 22:07,Robin Spielberg,The Orange Fox Waits,185533,1aTcDNvEBoqWN9FxuoBhfB
132,2023-03-29 22:11,Michele McLaughlin,Out of the Darkness,240320,0jgHjKLA0l0S8fv2Hd3sEc
133,2023-03-29 22:15,Karen Marie Garrett,Moon Night,224427,46Dfn4uabMnaFJklqbG1zd
134,2023-03-29 22:19,Eric Tingstad,Fisherman's Dream - Remastered,253013,0
135,2023-03-29 22:23,Wayne Gratz,The Green Room,262760,1YDchzoNk8pD86S6Si5ruE
136,2023-03-29 22:26,Bernward Koch,Touched by Love,202853,2GUUejFnTxI0yEZR1afTC4
137,2023-03-29 22:30,Philip Aaberg,Montana Half-Light,224733,5JOxUhnc9FjD6oOlIwhFL9
138,2023-03-29 22:35,Michele McLaughlin,The Descent,287747,5xJOh327HCpS71cAmbr9Rk
139,2023-03-29 22:38,ØYSTEIN SEVÅG,Rio Amazonas,186067,7BVwmVaThUZvMDt9aG1Kup
140,2023-03-29 22:42,Paul Speer,Rain Forest,258000,6FZfxmeVhsdqkD8WJfP83n
141,2023-03-29 22:49,David Lanz,Wings To Altair - Remastered,377067,0j1zT31x3toBbvmTLk8spF
142,2023-03-29 22:52,Ola Gjeilo,Madison,180853,6bq8VAGmvWxpIjtYXjxofC
143,2023-03-30 15:30,Henry Mancini,"Love Theme from ""Romeo And Juliet""",89967,0oFkaYVT0tVb9v5sOaMvJv
144,2023-03-30 20:16,Hans Zimmer,Cornfield Chase,126959,6pWgRkpqVfxnj3WuIcJ7WP
